rank,feature_id,token,active_mean_base,active_mean_chat,active_mean_diff,link
88,38212,newline,3.546875,0.0,-3.546875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/38212
49,33783,endheader,3.546875,0.0,-3.546875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/33783
50,38212,endheader,3.546875,0.0,-3.546875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/38212
87,33783,newline,3.546875,0.0,-3.546875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/33783
74,33783,asst,3.546875,0.0,-3.546875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/33783
73,100982,asst,3.546875,0.0,-3.546875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/100982
72,14272,asst,3.546875,0.0,-3.546875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/14272
71,38212,asst,3.546875,0.0,-3.546875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/38212
70,32539,asst,3.546875,0.0,-3.546875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/32539
89,32161,newline,3.53125,0.0,-3.53125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/32161
90,118690,newline,3.53125,0.0,-3.53125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/118690
91,46988,newline,3.5234375,0.0,-3.5234375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/46988
92,109250,newline,3.5234375,0.0,-3.5234375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/109250
75,75005,asst,7.826554298400879,4.3125,-3.514054298400879,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/75005
93,125394,newline,3.512988567352295,0.0,-3.512988567352295,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/125394
51,100824,endheader,7.65625,4.15625,-3.5,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/100824
95,65499,newline,3.5,0.0,-3.5,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/65499
76,100824,asst,7.65625,4.15625,-3.5,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/100824
94,100824,newline,7.65625,4.15625,-3.5,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/100824
77,16353,asst,3.46875,0.0,-3.46875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/16353
