experiment_id,config_name,ifeval_pct_change,harm_pct_change,display_name,mmlu_pro_pct_change,eq_bench_pct_change,gsm8k_pct_change,sum_decrease
layers_36:52-p0.75,pc1_role_trait,-3.0063291139240467,-36.88233688233687,"Layers 36-51, 75th",-3.389830508474568,-6.4906817716977345,-2.3514851485148536,-15.238326542611205
layers_52:60-p0.75,pc1_role_trait,-1.7405063291139131,-44.30794430794431,"Layers 52-59, 75th",-4.872881355932196,-6.306555380083832,-2.3514851485148536,-15.271428213644796
layers_42:50-p0.75,pc1_role_trait,-2.2151898734177227,-45.50914550914552,"Layers 42-49, 75th",-3.6016949152542312,-6.370604226630405,-3.0940594059405964,-15.281548421242956
layers_44:60-p0.75,pc1_role_trait,-1.7405063291139131,-42.779142779142774,"Layers 44-59, 75th",-5.1906779661017,-6.306555380083832,-2.103960396039606,-15.34170007133905
layers_38:46-p0.75,pc1_role_trait,-2.848101265822782,-40.7043407043407,"Layers 38-45, 75th",-4.025423728813558,-6.277814860564054,-2.2277227722772297,-15.379062627477623
layers_34:42-p0.25,pc1_role_trait,-3.3227848101265764,-45.836745836745834,"Layers 34-41, 25th",-4.131355932203381,-7.593350919428351,-0.37128712871287156,-15.418778790471181
layers_44:48-p0.75,pc1_role_trait,-2.848101265822782,-44.96314496314496,"Layers 44-47, 75th",-3.9194915254237186,-6.194216147744343,-2.4752475247524774,-15.43705646374332
layers_56:64-p0.75,pc1_role_trait,-3.164556962025312,-44.089544089544084,"Layers 56-63, 75th",-3.8135593220338952,-6.277814860564054,-2.2277227722772297,-15.48365391690049
layers_40:56-p0.75,pc1_role_trait,-1.8987341772151782,-43.32514332514333,"Layers 40-55, 75th",-4.449152542372885,-6.306555380083832,-2.8465346534653486,-15.500976753137245
layers_38:42-p0.01,pc1_role_trait,-2.056962025316443,-43.980343980343974,"Layers 38-41, 1st",-2.966101694915257,-8.995516440686927,-1.4851485148514862,-15.503728675770114
layers_30:46-p0.75,pc1_role_trait,-3.6392405063291062,-41.68714168714169,"Layers 30-45, 75th",-3.1779661016949206,-6.380023644110515,-2.3514851485148536,-15.548715400649396
layers_56:60-p0.25,pc1_role_trait,-3.481012658227842,-41.9055419055419,"Layers 56-59, 25th",-4.2372881355932215,-7.001195895441374,-0.8663366336633671,-15.585833322925806
layers_34:42-p0.01,pc1_role_trait,-2.3734177215189876,-55.009555009555,"Layers 34-41, 1st",-3.495762711864408,-8.976546522506219,-0.7425742574257431,-15.588301213315356
layers_40:56-p0.5,pc1_role_trait,-2.848101265822782,-42.23314223314224,"Layers 40-55, 50th",-2.966101694915257,-7.922928061752649,-1.856435643564358,-15.593566666055045
layers_38:42-p0.5,pc1_role_trait,-3.3227848101265764,-38.73873873873874,"Layers 38-41, 50th",-2.966101694915257,-7.2128802695004675,-2.103960396039606,-15.605727170581906
