filenames,role_path_lengths,trait_path_lengths,role_max_jump,trait_max_jump,role_pc1_path_length,role_pc1_max_jump
therapy_persona13_topic11,1643.0425615954484,1025.5394249717078,101.73169750209337,64.16893822080223,48.8417497945374,10.489073137259012
therapy_persona13_topic10,1792.5933416258986,1085.340276745743,144.29493840264192,93.0913711041143,64.58745780956352,21.0254689549473
therapy_persona13_topic1,1931.7039482140387,1270.9772627688944,159.32732012432342,108.11921894654036,60.96993462206432,15.638790139181742
therapy_persona13_topic0,1604.971959910831,975.3932077177518,112.74865975803162,73.58095357903815,47.83768031454117,14.653123017413217
therapy_persona12_topic9,2088.790733376415,1287.5778797361552,213.9605689123704,140.67532109559548,53.4881990907532,13.79345132047358
therapy_persona12_topic8,1547.824572906075,974.0682418720272,175.83887104630915,116.68369342675797,67.27581616831336,28.93427489586952
therapy_persona12_topic7,2034.6487270859843,1205.10492283635,140.01995093722752,91.9440354220124,88.24263900426833,17.670735561835084
therapy_persona12_topic6,1847.963732524409,1153.8835540202012,146.06684222764167,96.27002678236859,123.71235689229545,25.98649006676579
therapy_persona12_topic5,1817.5008577712283,1064.58782407943,140.88321040873734,92.799994807398,30.51657001305149,7.592420461818565
therapy_persona12_topic4,1507.1346928944745,977.3647379413146,186.5141086379727,121.94883508866491,122.73274084099035,55.6987862700446
therapy_persona12_topic3,1985.5285172964784,1257.0135974693471,137.76631532360494,86.07785975446903,49.59332352311465,8.293029584078678
therapy_persona12_topic2,1902.3854163405324,1178.1406886558968,124.78715768078176,79.11166097906191,57.398182964031236,12.65106825253519
therapy_persona12_topic19,2058.2320021420187,1290.4777907833975,159.15629807231252,99.42644096402067,74.32272940691959,29.826584974345167
therapy_persona12_topic18,1751.8401821104876,1093.027250588293,125.86794270589823,82.62983947978589,76.54116446647585,18.906237733196647
therapy_persona12_topic17,1958.725645018289,1217.1262478348085,145.44171318982066,96.95176287564847,43.47968326164484,8.750058521309064
therapy_persona12_topic16,1965.482822306396,1225.7070280970988,153.204078413262,99.57308570273607,88.97893282880925,23.33091059679778
therapy_persona12_topic15,1800.137544020368,1114.0716664091335,110.05419549529807,73.04146079330165,41.591156638904515,14.102559329135417
therapy_persona12_topic14,2383.5536496678446,1462.7319771504806,178.4612819956484,118.70372180209367,121.72098178250457,32.83224060060173
therapy_persona12_topic13,1725.570959180587,1110.4009534101583,109.21172678300239,70.56081384483245,36.952367652036195,8.231768343472755
therapy_persona12_topic12,2193.035782746961,1335.5133916258956,120.25191300697455,76.1121410832181,89.6840517240386,17.901605251459802
therapy_persona12_topic11,1471.856729224421,876.0562898908856,148.32896099879153,90.90564921088435,23.19836981144293,7.42861232356023
therapy_persona12_topic10,1706.8006043410542,1043.264566321517,106.31003170765057,70.98609971087843,137.2794104250528,18.949481764998026
therapy_persona12_topic1,2025.8711987960144,1331.3449248384743,133.8624758244659,86.92125226625929,85.53071982560793,16.667175735756285
therapy_persona12_topic0,2089.4183922026245,1236.0219057072427,196.41983313224824,135.3561161332441,67.28834591731498,29.75137281557892
therapy_persona11_topic9,1657.6836052078604,1075.3104151255598,154.56478888073352,96.40760901880915,48.641457871089216,8.432671171127268
therapy_persona11_topic8,1851.8766822324767,1147.3688713124925,128.6833030065387,84.71111808761368,102.19572905981627,18.154489440022
therapy_persona11_topic7,857.1515046336583,512.7298394084418,169.24059032606044,114.54250999962956,81.58285008302796,34.66260640644167
therapy_persona11_topic6,1644.490375065941,1085.3370577103371,129.04263037518342,76.36008145784356,102.69981004103931,25.38817071717279
therapy_persona11_topic5,1726.5721913855168,1109.3755393259105,191.9892319190039,130.43542649863102,117.90050267835191,50.818035908003694
therapy_persona11_topic4,1611.351236150386,966.3081300547458,268.6758096754032,160.16454692245838,115.60541326480431,20.59392684576268
therapy_persona11_topic3,1694.9407632913692,1094.9767546177163,117.29383045412769,69.13438499347004,51.924364261928524,6.859022555336458
therapy_persona11_topic2,1792.4450708085596,1160.9238339682977,119.86449170497384,67.92168665694345,94.2128761472319,14.53508461020158
therapy_persona11_topic19,1426.0897175484247,884.6387988464172,167.31760556178904,114.25000893308852,153.84678724833813,29.197669794964344
therapy_persona11_topic18,1638.8883097719756,1032.1262308717764,116.76624212882899,74.96409588731909,70.90675835609558,17.189742585659584
therapy_persona11_topic17,1618.2155839992697,1057.938326548713,152.80053055473368,93.47052777931722,79.40305226074068,17.703062360195798
therapy_persona11_topic16,1778.8762361473125,1131.4977709104485,128.86156753534019,79.94758133293458,56.59056817371163,13.63390633422702
therapy_persona11_topic15,1435.6993881808096,928.682247137766,134.81340450397545,85.62317250669369,55.59571935672261,23.413421380494405
therapy_persona11_topic14,1552.4746146695948,990.3184212656978,162.84692335736298,110.23225473962076,81.740002324956,19.407526000312274
therapy_persona11_topic13,1848.1829786333317,1180.0188580762413,124.49716958027659,79.9008058377191,87.23577067437112,15.531006761729799
therapy_persona11_topic12,2253.7095408515115,1470.8673976622754,161.26737722214344,105.69946335178926,142.6799126087077,24.344613622175224
